tool,precursors,FDP_lb,FDP_comb,protein groups,FDP_lb_pg,FDP_comb_pg
diann-1.8.1,108305,0.9849653403705699,2.6758418509312127,9288,1.959517657192076,4.839532098045977
delpi,134889,0.7611564209992694,2.067823224773157,10304,1.999223602484472,4.937596127232203
