tool,precursors,FDP_lb,FDP_comb,protein groups,FDP_lb_pg,FDP_comb_pg
alphadia,50888,0.06694494762542333,0.1818684223925188,6057,0.26415717351824336,0.6524039808870823
diabert,11491,0.3307799442896936,0.898625344569032,4084,0.9059745347698335,2.2375367861260886
diann-1.8.1,58613,0.5311559948431457,1.442984216926421,7293,1.2751953928424515,3.1494225184909705
delpi,76216,0.669899449017613,1.8199066587690147,8899,1.6293965614113943,4.02421327026768
