tool,precursors,FDP_lb,FDP_comb,protein groups,FDP_lb_pg,FDP_comb_pg
msgf,32701,0.021410001529285825,0.20535210633236828,3458,0.028918449971081547,0.16303681931304517
sage,39804,0.09548698361644387,0.9158548254253754,5784,0.05186721991701245,0.29241769770980824
delpi,96592,0.04762841552686346,0.4568236688977451,7866,0.10170353419781336,0.5733855287917725
