tool,precursors,FDP_lb,FDP_comb,q_cutoff,score_col,protein groups,FDP_lb_pg,FDP_comb_pg,q_cutoff_pg,score_col_pg
msgf,37129,0.10236517429017833,0.9818263733804277,3.4912024e-9,spec_e_value,6131,0.11417387049420975,0.6436909555197476,6.3906996e-10,spec_e_value
sage,40105,0.1022520388058957,0.9807412445462895,0.3029443919658661,posterior_error,6533,0.1530690341343946,0.8629746229672589,0.15851187705993652,posterior_error
delpi,100813,0.06349143361672999,0.6089723818759649,0.37346214,posterior_error,7966,0.17574692442882248,0.9908283324859584,0.026589096,posterior_error
