tool,precursors,FDP_lb,FDP_comb,protein groups,FDP_lb_pg,FDP_comb_pg
msgf,32701,0.021410001529285825,0.20535210633236828,5761,0.017358097552508247,0.09786171171402712
sage,39804,0.09548698361644387,0.9158548254253754,6286,0.09545020680878143,0.5381304370198953
delpi,100523,0.05074071494662276,0.4866750091935578,7813,0.1407909893766799,0.7937533000165895
