tool,precursors,FDP_lb,FDP_comb,q_cutoff,score_col,protein groups,FDP_lb_pg,FDP_comb_pg,q_cutoff_pg,score_col_pg
msgf,36537,0.10402978537012703,0.9977923410158848,7.5209433e-10,spec_e_value,5947,0.16815200941651254,0.9480096202867164,1.3204775e-10,spec_e_value
sage,28627,0.10132774283717678,0.9718759427950816,0.1822025328874588,posterior_error,3703,0.054010261949770454,0.3044997683956307,0.09856749325990677,posterior_error
delpi,61867,0.10347949812443409,0.9925143103330607,0.07128221,posterior_error,7794,0.16679497049012063,0.940358888298516,0.00643754,posterior_error
