tool,precursors,FDP_lb,FDP_comb,q_cutoff,score_col,protein groups,FDP_lb_pg,FDP_comb_pg,q_cutoff_pg,score_col_pg
alphadia,50888,0.06694494762542333,0.1818684223925188,0.876638650894165,posterior_error,6057,0.26415717351824336,0.6524039808870823,0.4844963848590851,posterior_error
diabert,9926,0.3627935100272095,0.9855961601773799,0.9604492,score,3220,0.37267080745341613,0.920406268377265,0.98876953,score
diann-1.8.1,55584,0.36616756697966135,0.9947624144918713,0.00591897,global_precursor_q_value,6227,0.4014774369680424,0.9915516380864224,0.00174734,global_protein_group_q_value
delpi,71006,0.36732899346182757,0.9979176459100559,0.030230402946472168,posterior_error,7743,0.4003616169443368,0.9887958339728204,0.0026823878288269043,posterior_error
