tool,precursors,FDP_lb,FDP_comb,q_cutoff,score_col,protein groups,FDP_lb_pg,FDP_comb_pg,q_cutoff_pg,score_col_pg
alphadia,12646,0.1029050898440592,0.987004924912962,0.0017113473732024431,posterior_error,3003,0.1665001665001665,0.9386968384690482,0.0008088612812571228,posterior_error
diann-1.8.1,33786,0.10362694300518134,0.9939285146612553,0.00301645,global_precursor_q_value,4790,0.12526096033402923,0.7061978970995952,0.00150118,global_protein_group_q_value
delpi,36654,0.10370046938107194,0.994633736290477,0.016634881496429443,posterior_error,5816,0.17193947730398898,0.9693626567821703,0.005158960819244385,posterior_error
