tool,precursors,FDP_lb,FDP_comb,protein groups,FDP_lb_pg,FDP_comb_pg
diann-1.8.1,52110,0.9422691536919994,3.9021170555827474,7347,2.667755546481557,9.439414981926497
delpi,107052,0.5282679554906148,2.1876587925657134,9283,2.5207368307659164,8.919213395398035
